state,Utility,Policy
a1,30.12364987851175,E
a2,35.7092417822761,E
a3,41.213196002483784,E
a4,48.096867452052386,N
a5,71.46587138369743,E
a6,76.89996155696726,E
a7,82.43057729717175,E
a8,88.08769671120537,E
a9,93.91860897500285,E
a10,100.0,
b1,27.0867196205337,N
b2,32.95764427601746,S
b3,33.639333869192285,W
b4,-100.0,
b5,68.95845646433438,E
b6,74.05517908349395,E
b7,79.1436504635976,E
b8,84.19334460670399,E
b9,89.14880584020906,N
b10,93.91860897500285,N
c1,-100.0,
c2,39.159040630811866,E
c3,44.93338489598037,E
c4,51.87623091457822,S
c5,65.12276361677854,E
c6,69.9109576767914,E
c7,74.69281543767838,E
c8,79.46443877249864,N
c9,84.19334460670399,N
c10,88.08769671120537,N
d1,27.072626255938516,S
d2,41.66379630559503,E
d3,48.44675211255852,E
d4,54.78934191488605,E
d5,61.03713434865304,E
d6,65.53894591719947,E
d7,70.04996051222737,E
d8,74.69281543767838,N
d9,79.1436504635976,N
d10,82.43057729717175,N
e1,27.614572570657035,E
e2,36.94670218004021,N
e3,46.27739751960257,E
e4,52.35105841492089,E
e5,57.702507206648214,E
e6,61.8857706862283,E
e7,65.66514554905281,E
e9,73.53398951691489,N
e10,76.784015680081,N
f1,12.025024127381116,W
f2,-100.0,
f3,39.36525745179024,E
f4,47.69420078300979,N
f5,56.23224306554478,E
f6,61.50859393362788,E
f7,67.16290912326265,E
f9,68.69874146872908,N
f10,71.31794206430203,N
g1,12.92080816618162,S
g2,16.805619835071415,S
g3,19.827869848650945,W
g4,-100.0,
g5,52.80588035853647,E
g6,57.85429142251205,E
g7,62.87837311372162,E
g8,67.7955892070199,N
g9,65.09156770487701,N
g10,66.2654066066065,N
h1,16.52599307607148,E
h2,21.769094527087454,E
h3,27.338913473035184,E
h4,33.57121910366386,S
h5,48.22009396294555,E
h6,53.125599076990895,E
h7,57.89295437810722,N
h8,61.72105115953664,N
h9,60.80329672208071,N
h10,61.38289242408125,N
i1,18.29128981765116,E
i2,23.750767196769793,E
i3,29.55269069047631,E
i4,35.87980491166263,E
i5,42.974356011667176,N
i6,48.21980408274809,N
i7,52.804287434724756,N
i8,56.08864833813893,N
i9,56.172469638516105,N
i10,56.55636954157663,N
j1,17.46044054182923,E
j2,21.939406726167455,E
j3,26.137834969589694,E
j4,29.877480836861643,N
j5,29.123671323056655,W
j6,-100.0,
j7,47.46954909618452,E
j8,50.65988974468479,N
j9,51.361449936162764,N
j10,51.73329555738546,N
