state,Utility,Policy
a1,70.48885263526103,E
a2,73.75435751367176,E
a3,77.03459675531744,E
a4,80.31911795622844,E
a5,83.58555756217244,E
a6,86.85482111776476,E
a7,90.13153896605385,E
a8,93.41667914505896,E
a9,96.70794255774648,E
a10,100.0,
b1,67.93753207477127,S
b2,70.72847594311442,E
b3,73.87080281748412,N
b4,77.73769190456498,E
b5,80.91317838439707,E
b6,83.94235578118275,E
b7,86.9478091229584,N
b8,90.03573358826966,N
b10,-100.0,
c1,71.037168154605,S
c2,69.11856286852942,S
c3,-100.0,
c4,75.50423734005967,S
c6,86.8542504566328,W
c7,83.93667702686116,N
c8,86.66056358529202,N
c9,83.30106026649987,W
c10,74.74685355782609,W
d1,74.28302823186326,E
d2,77.49614558845981,E
d3,80.86450872811973,E
d4,89.58878165003475,E
d5,93.30142307781874,N
d6,89.92097782578755,W
d7,86.5595855991693,W
d8,83.46612238256917,N
d9,80.11014126195519,N
d10,76.60508439281357,W
e1,76.66485310129414,E
e2,80.00957233221511,E
e3,83.3629409305204,E
e4,86.7207334120173,E
e5,89.91707470561266,N
e6,86.73441129952049,N
e7,83.54285577243841,W
e8,80.35431940507839,W
e9,-100.0,
e10,68.19655879319461,N
f1,73.94403961388714,E
f2,77.14178386739424,E
f3,80.33767450362576,E
f4,83.52896957658707,N
f5,86.54397878057127,N
f6,83.54239953639221,N
f7,80.35654922449079,N
f8,77.17018011400897,W
f9,68.80008167577212,W
f10,65.7389261343971,W
g1,70.85432431625452,N
g2,73.96479447473708,E
g3,77.15122000242522,N
g4,80.33236148691205,N
g5,83.18119446671086,N
g6,80.3455530191198,N
g7,77.16992384517081,N
g8,73.98350702452896,W
g9,70.64125780666299,W
g10,67.31160974896407,W
h1,67.76184987638733,N
h2,70.78345421115692,N
h3,73.96449270141244,N
h4,77.13146087434147,N
h5,79.82786794431411,N
h6,77.14441497697499,N
h7,73.98275382911143,N
h8,70.79276349868702,N
h9,67.45934919776565,N
h10,64.26706391599791,W
i1,64.66677031217952,N
i2,67.60446939643194,N
i3,70.77746639560483,N
i4,73.92676279922469,N
i5,76.48319029242552,N
i6,73.93831859677904,N
i7,70.75554169968598,W
i8,-100.0,
i9,59.37602306512352,N
i10,61.029437589360896,N
j1,61.57261744499179,N
j2,64.54016337548144,E
j3,67.63131199603018,E
j4,70.71991935483332,N
j5,73.14656023899376,N
j6,70.73109714969544,N
j7,67.641492961268,W
j8,-100.0,
j9,54.70738192330261,E
j10,57.74871849456801,N
