state,Utility,Policy
a1,52.02696170320501,E
a2,55.744143869800595,E
a3,59.47510696885237,E
a4,63.24308920756029,E
a5,67.05067075600005,E
a6,71.3897329839629,E
a7,88.75207528614911,E
a8,92.48341193556847,E
a9,96.23186526370621,E
a10,100.0,
b1,49.16902263195157,E
b2,52.7159960765129,E
b3,55.989734639292536,N
b4,59.268624581501555,N
b5,56.51187185611001,W
b6,-100.0,
b7,85.71931376074409,E
b8,89.23924178310645,E
b9,92.74460943175725,N
b10,96.23186526370621,N
c1,45.555397667786174,N
c3,52.483106035653634,N
c4,55.496783472333085,N
c5,54.9774275513129,E
c6,70.88671302430714,S
c7,82.26490518660523,E
c8,85.75326020694288,N
c9,89.23924178310645,N
c10,92.48341193556847,N
d1,45.6573555880922,E
d2,49.21204308130256,E
d4,43.97649679943517,W
d5,-100.0,
d6,74.7393619595088,E
d7,78.77880868605556,E
d8,82.26490518660523,N
d9,85.71931376074409,N
d10,88.75207528614911,N
e1,44.908351162573084,E
e2,48.59307321298927,E
e3,52.30689484699488,E
e4,56.0082493554438,E
e5,60.272170845513855,S
e6,71.75377229868992,E
e7,75.28891930669269,N
e8,78.7734274726154,N
e9,82.18767922646573,N
e10,85.03569644165492,N
f1,41.70232356242387,N
f2,45.15767031514446,N
f3,49.23534244042089,N
f4,58.42926858405558,E
f5,63.173581506940224,E
f6,68.15856542784765,N
f7,71.79213091940457,E
f8,75.27812466220428,N
f9,78.64661810899301,N
f10,81.33244899719053,N
g1,-100.0,
g2,21.92808935474897,N
g3,-100.0,
g4,45.30622507410663,E
g5,47.558394506324355,N
g6,-100.0,
g7,68.29281881744397,E
g8,71.77882548071238,N
g9,75.09797254542656,N
g10,77.64078132379616,N
h1,35.04722698143672,S
h2,38.56990798164199,S
h3,42.45400800890957,S
h4,47.419659984251524,E
h5,50.89147428972753,E
h6,54.43540987465428,S
h7,64.79082341970322,E
h8,68.27547518287197,N
h9,71.54323188445208,N
h10,73.95936956351176,N
i1,38.24780287085406,E
i2,42.02643513611517,E
i3,45.85222967218736,E
i4,49.705701847674206,E
i5,53.50638887831114,E
i6,57.36970864134216,E
i7,61.30287913912413,E
i8,64.76928243749005,N
i9,67.98368351696635,N
i10,70.28708544243996,N
j1,37.83146762410243,E
j2,41.28354849224408,E
j3,44.70919015860221,E
j4,48.10243348717969,E
j5,51.45841443238545,E
j6,54.77838979307746,E
j7,58.05437332761865,E
j8,61.27714778425086,N
j9,64.4215519518692,N
j10,66.62305181207084,N
